user_id,month,plan,monthly_price,payment_status,amount_paid,is_active
1,1,Plus,19.99,paid,19.99,True
2,1,Basic,9.99,paid,9.99,True
3,1,Premium,29.99,paid,29.99,True
4,1,Plus,19.99,paid,19.99,True
5,1,Basic,9.99,paid,9.99,True
6,1,Premium,29.99,paid,29.99,True
7,1,Plus,19.99,paid,19.99,True
8,1,Plus,19.99,paid,19.99,True
9,1,Basic,9.99,paid,9.99,True
10,1,Basic,9.99,paid,9.99,True
11,1,Basic,9.99,paid,9.99,True
12,1,Premium,29.99,paid,29.99,True
13,1,Plus,19.99,paid,19.99,True
14,1,Plus,19.99,paid,19.99,True
15,1,Basic,9.99,paid,9.99,True
16,1,Basic,9.99,paid,9.99,True
17,1,Plus,19.99,paid,19.99,True
18,1,Basic,9.99,paid,9.99,True
19,1,Plus,19.99,paid,19.99,True
20,1,Plus,19.99,paid,19.99,True
21,1,Plus,19.99,paid,19.99,True
22,1,Basic,9.99,paid,9.99,True
23,1,Premium,29.99,paid,29.99,True
24,1,Premium,29.99,paid,29.99,True
25,1,Plus,19.99,paid,19.99,True
26,1,Basic,9.99,paid,9.99,True
27,1,Basic,9.99,paid,9.99,True
28,1,Basic,9.99,paid,9.99,True
29,1,Basic,9.99,paid,9.99,True
30,1,Plus,19.99,paid,19.99,True
31,1,Plus,19.99,paid,19.99,True
32,1,Premium,29.99,paid,29.99,True
33,1,Basic,9.99,paid,9.99,True
34,1,Basic,9.99,paid,9.99,True
35,1,Basic,9.99,paid,9.99,True
36,1,Basic,9.99,paid,9.99,True
37,1,Basic,9.99,paid,9.99,True
38,1,Basic,9.99,paid,9.99,True
39,1,Basic,9.99,paid,9.99,True
40,1,Plus,19.99,paid,19.99,True
41,1,Basic,9.99,paid,9.99,True
42,1,Plus,19.99,paid,19.99,True
43,1,Plus,19.99,paid,19.99,True
44,1,Basic,9.99,paid,9.99,True
45,1,Plus,19.99,failed,0.0,True
46,1,Plus,19.99,paid,19.99,True
47,1,Basic,9.99,paid,9.99,True
48,1,Basic,9.99,paid,9.99,True
49,1,Plus,19.99,paid,19.99,True
50,1,Basic,9.99,paid,9.99,True
51,1,Basic,9.99,paid,9.99,True
52,1,Basic,9.99,paid,9.99,True
53,1,Plus,19.99,paid,19.99,True
54,1,Plus,19.99,paid,19.99,True
55,1,Plus,19.99,paid,19.99,True
56,1,Plus,19.99,paid,19.99,True
57,1,Basic,9.99,paid,9.99,True
58,1,Plus,19.99,paid,19.99,True
59,1,Basic,9.99,paid,9.99,True
60,1,Basic,9.99,paid,9.99,True
61,1,Plus,19.99,paid,19.99,True
62,1,Basic,9.99,paid,9.99,True
63,1,Plus,19.99,paid,19.99,True
64,1,Plus,19.99,paid,19.99,True
65,1,Plus,19.99,paid,19.99,True
66,1,Plus,19.99,paid,19.99,True
67,1,Plus,19.99,paid,19.99,True
68,1,Basic,9.99,paid,9.99,True
69,1,Basic,9.99,failed,0.0,True
70,1,Basic,9.99,paid,9.99,True
71,1,Basic,9.99,paid,9.99,True
72,1,Basic,9.99,paid,9.99,True
73,1,Premium,29.99,paid,29.99,True
74,1,Basic,9.99,paid,9.99,True
75,1,Basic,9.99,paid,9.99,True
76,1,Basic,9.99,paid,9.99,True
77,1,Basic,9.99,paid,9.99,True
78,1,Plus,19.99,paid,19.99,True
79,1,Plus,19.99,paid,19.99,True
80,1,Plus,19.99,paid,19.99,True
81,1,Plus,19.99,paid,19.99,True
82,1,Basic,9.99,paid,9.99,True
83,1,Plus,19.99,paid,19.99,True
84,1,Basic,9.99,paid,9.99,True
85,1,Basic,9.99,paid,9.99,True
86,1,Basic,9.99,paid,9.99,True
87,1,Plus,19.99,paid,19.99,True
88,1,Basic,9.99,paid,9.99,True
89,1,Basic,9.99,paid,9.99,True
90,1,Basic,9.99,paid,9.99,True
91,1,Basic,9.99,paid,9.99,True
92,1,Plus,19.99,paid,19.99,True
93,1,Basic,9.99,paid,9.99,True
94,1,Basic,9.99,paid,9.99,True
95,1,Basic,9.99,paid,9.99,True
96,1,Plus,19.99,paid,19.99,True
97,1,Basic,9.99,paid,9.99,True
98,1,Basic,9.99,paid,9.99,True
99,1,Basic,9.99,paid,9.99,True
100,1,Premium,29.99,paid,29.99,True
101,1,Premium,29.99,failed,0.0,True
102,1,Plus,19.99,paid,19.99,True
103,1,Basic,9.99,paid,9.99,True
104,1,Premium,29.99,paid,29.99,True
105,1,Plus,19.99,paid,19.99,True
106,1,Plus,19.99,paid,19.99,True
107,1,Basic,9.99,paid,9.99,True
108,1,Basic,9.99,paid,9.99,True
109,1,Basic,9.99,paid,9.99,True
110,1,Premium,29.99,paid,29.99,True
111,1,Basic,9.99,paid,9.99,True
112,1,Basic,9.99,paid,9.99,True
113,1,Basic,9.99,paid,9.99,True
114,1,Plus,19.99,paid,19.99,True
115,1,Basic,9.99,paid,9.99,True
116,1,Premium,29.99,paid,29.99,True
117,1,Plus,19.99,paid,19.99,True
118,1,Plus,19.99,paid,19.99,True
119,1,Basic,9.99,paid,9.99,True
120,1,Plus,19.99,paid,19.99,True
121,1,Plus,19.99,paid,19.99,True
122,1,Plus,19.99,paid,19.99,True
123,1,Basic,9.99,paid,9.99,True
124,1,Basic,9.99,paid,9.99,True
125,1,Basic,9.99,paid,9.99,True
126,1,Basic,9.99,paid,9.99,True
127,1,Basic,9.99,paid,9.99,True
128,1,Basic,9.99,paid,9.99,True
129,1,Basic,9.99,paid,9.99,True
130,1,Plus,19.99,paid,19.99,True
131,1,Basic,9.99,paid,9.99,True
132,1,Premium,29.99,paid,29.99,True
133,1,Plus,19.99,paid,19.99,True
134,1,Basic,9.99,paid,9.99,True
135,1,Plus,19.99,paid,19.99,True
136,1,Basic,9.99,paid,9.99,True
137,1,Premium,29.99,paid,29.99,True
138,1,Basic,9.99,paid,9.99,True
139,1,Plus,19.99,paid,19.99,True
140,1,Basic,9.99,paid,9.99,True
141,1,Basic,9.99,paid,9.99,True
142,1,Basic,9.99,paid,9.99,True
143,1,Premium,29.99,paid,29.99,True
144,1,Plus,19.99,paid,19.99,True
145,1,Basic,9.99,paid,9.99,True
146,1,Basic,9.99,paid,9.99,True
147,1,Basic,9.99,paid,9.99,True
148,1,Basic,9.99,paid,9.99,True
149,1,Basic,9.99,paid,9.99,True
150,1,Basic,9.99,paid,9.99,True
151,1,Plus,19.99,paid,19.99,True
152,1,Premium,29.99,paid,29.99,True
153,1,Basic,9.99,paid,9.99,True
154,1,Plus,19.99,paid,19.99,True
155,1,Basic,9.99,paid,9.99,True
156,1,Plus,19.99,paid,19.99,True
157,1,Basic,9.99,paid,9.99,True
158,1,Plus,19.99,failed,0.0,True
159,1,Plus,19.99,paid,19.99,True
160,1,Plus,19.99,paid,19.99,True
161,1,Basic,9.99,paid,9.99,True
162,1,Premium,29.99,paid,29.99,True
163,1,Basic,9.99,paid,9.99,True
164,1,Basic,9.99,paid,9.99,True
165,1,Plus,19.99,paid,19.99,True
166,1,Basic,9.99,paid,9.99,True
167,1,Plus,19.99,paid,19.99,True
168,1,Plus,19.99,paid,19.99,True
169,1,Basic,9.99,paid,9.99,True
170,1,Premium,29.99,paid,29.99,True
171,1,Basic,9.99,paid,9.99,True
172,1,Basic,9.99,paid,9.99,True
173,1,Basic,9.99,paid,9.99,True
174,1,Premium,29.99,paid,29.99,True
175,1,Basic,9.99,paid,9.99,True
176,1,Basic,9.99,paid,9.99,True
177,1,Basic,9.99,paid,9.99,True
178,1,Premium,29.99,paid,29.99,True
179,1,Premium,29.99,paid,29.99,True
180,1,Plus,19.99,paid,19.99,True
181,1,Premium,29.99,paid,29.99,True
182,1,Premium,29.99,paid,29.99,True
